Project Title,Diagram (Text Spec),Image/Diagram,Impact,Key Technologies,Short Description
Doctor’s AI Assistant – HIPAA-Compliant Real-time LLM Workflow,"mermaid
flowchart LR
  Mic[Doctor dictation] --> STT[Speech-to-text]
  STT --> Ingest[Secure API Gateway (HIPAA)]
  Ingest --> LLMOrch[LLM Orchestrator]

  LLMOrch --> Summarizer[OPD/IPD summary generator]
  LLMOrch --> Templates[Discharge note templates]
  LLMOrch --> Validator[Compliance / PHI checks]

  Summarizer --> Docs[(Draft clinical documents)]
  Templates --> Docs
  Validator --> Docs

  Docs --> EHR[(Hospital EHR / EMR)]
",,Reduced documentation time by 70%; improved accuracy and consistency of medical records.,"AWS, HIPAA, Lambda, Langchain, OpenAi, Python","Built a medical assistant that generates OPD/IPD summaries, discharge notes, and medical documents in real time. Integrated speech-to-text, LLM summarization, and compliance-aware architecture."
Multilingual Medical ASR Pipeline,"mermaid
flowchart LR
  Mic[Clinician / user speech] --> EdgeClient[Edge streaming client]
  EdgeClient --> Ingest[Streaming gateway]
  Ingest --> NIM[NVIDIA NIM ASR]
  Ingest --> Whisper[Whisper-based ASR]
  Ingest --> Indic[AI4Bharat IndicConformer]

  NIM --> Fusion[Hypothesis fusion + scoring]
  Whisper --> Fusion
  Indic --> Fusion

  Fusion --> TextOut[Final transcript]
  TextOut --> Downstream[Medical assistant / EHR]
",Featured%20Projects/asr%201.png,Decreased inventory discrepancies by 94% and reduced out-of-stock incidents by 78% across 12 retail locations.,"AI4Bharat, AWS, Google Cloud Speech API, NVIDIA NIM, Python, Whisper","Tuned ASR models for Hindi and Gujarati using curated LJ Speech data, enabling voice-driven medical assistance for non-English speakers."
Hierarchical RAG Search Engine,"mermaid
flowchart TB
  Ingest[Book / document ingestion] --> Parser[Structure extractor (chapters, headings, pages)]
  Parser --> Chunker[Hierarchical chunking]
  Chunker --> Embedder[Custom embeddings]
  Embedder --> VecStore[pgvector + Postgres]

  Query[User / agent query] --> Retriever[Hierarchical retriever]
  Retriever --> VecStore
  VecStore --> Context[Ranked context]
  Context --> LLM[Answer generator / agent]
",Featured%20Projects/Hierarchical_RAG_Search_Engine.png,Free alternative to Unstructured.io with superior retrieval accuracy; scalable to unlimited documents.,"Custom Embeings, Docker, MongoDB, PGVector, PostgresSQL, Python","Created a book ingestion system with pgvector database allowing multi-metadata search (by author, title, page, headings, context). Integrated agentic AI for complex multi-step queries."
Internet Search + LLM Pipeline (Tavily-level),"mermaid
flowchart LR
  Query[User / LLM query] --> Search[DuckDuckGo / Web Search]
  Search --> Scraper[HTML fetch + BeautifulSoup]
  Scraper --> Cleaner[Content cleaning + de-dup]
  Cleaner --> Ranker[Custom ranking algorithms]
  Ranker --> ContextBuilder[Structured context pack]
  ContextBuilder --> LLM[LLM reasoning]
  LLM --> Answer[Final answer + citations]
",,"Delivered highly relevant, structured web data for LLM context injection; secret optimizations outperformed commercial tools.","BeautifulSoup, Custom Ranking Algorithms, Langchain, OpenAi, Python, Requests","Replicated and enhanced Tavily’s internet search + scraping pipeline for LLMs. Added proprietary ranking and formatting logic to improve search relevance.

- Unlike static RAG pipelines that rely on pre-indexed or offline datasets, this system performs on-demand searches using DuckDuckGo�s APIs and public data endpoints to fetch the latest online content � including text articles, financial updates, news, images, and videos � then processes and integrates those results into the LLM�s reasoning process."
Agentic AI Orchestration for Education Business,"mermaid
flowchart LR
  Creator[Course creator] --> Portal[Course Portal]
  Portal --> AgentHub[Agent Orchestration Layer]
  AgentHub --> GenContent[LLM: generate course copy, emails, landing pages]
  AgentHub --> Recommender[LLM: personalized recommendations]
  AgentHub --> SupportBot[Student Q&A chatbot]

  GenContent --> CMS[(Course CMS)]
  Recommender --> Analytics[(Engagement & events)]
  SupportBot --> Ticketing[(Optional human handoff)]
",,Increased course engagement by ~45%; reduced manual admin tasks.,"AI Agent, Langchain, OpenAi, Python, ReAct Agent, custom orchestration layer",Automated entire online course lifecycle — from course descriptions to recommendations to chatbot-assisted learning — using agentic workflows and memory-enabled reasoning agents.
Medical Entity & Intent Recognition,"mermaid
flowchart LR
  UserQuery --> Preprocess[Text normalization]
  Preprocess --> NER[Medical NER Model]
  Preprocess --> Intent[Intent Classifier]
  NER --> Entities[(ICD / medical entities)]
  Intent --> Routing[Downstream routing]
  Routing --> TriageBot[Virtual assistant]
  Routing --> Tools[Clinical tools / triage flows]
",,Enabled accurate patient query understanding for virtual assistants; improved diagnostic query routing.,"BERT, Google T5, HuggingFace Transformers, Python",Built entity extraction and intent classification models for medical assistance using transformer-based architectures.
Custom LLM Fine-Tuning Suite,"mermaid
flowchart LR
  User -->|Task request / data| Orchestrator
  Orchestrator -->|Selects domain model| ModelRegistry[(Fine-tuned LLMs)]
  ModelRegistry --> Trainer[Training Pipeline]
  Trainer -->|Fine-tuned weights| ModelRegistry
  Orchestrator --> InferenceAPI[Inference API]
  InferenceAPI --> VectorDB[(Eval / logs store)]
  VectorDB --> Dashboards
  Dashboards -->|Feedback loop| Trainer
",,Achieved significant accuracy improvements for niche domains; deployed in production pipelines.,"Custom Embeings, HuggingFace Transformers, PyTorch, Python, UnSloth","Fine-tuned multiple LLMs (LLaMA, Qwen, Gemma) for domain-specific tasks in healthcare, education, and research workflows."
MCP Server & Client with Reasoning Agent,"mermaid
flowchart LR
  Client[ReAct-based MCP Client] --> MCPServer[(MCP Server)]
  MCPServer --> Tools[Registered tools: APIs, DBs, web]

  Client --> Planner[Reasoning / planning loop]
  Planner -->|Call tool| Tools
  Tools -->|Tool result| Planner
  Planner --> LLMResponse[Final response]
",,Enabled plug-and-play tool orchestration for LLMs across distributed environments.,"AI Agent, Docker, MCP Server, Python, ReAct Agent","Built large-scale Model Context Protocol server with tools for web servers, APIs, and databases; created a ReAct-based MCP client for autonomous tool usage."
SAP Hanna Agentic AI for Business,"mermaid
flowchart LR
  Dev[Dev / Biz user] --> MCPServer[(Existing MCP tools)]
  MCPServer --> Converter[Conversion script]
  Converter --> ToolsJSON[OpenAI Tool schemas]

  ToolsJSON --> OpenAIToolLayer[OpenAI tools-based agent]
  OpenAIToolLayer --> SAP[ SAP HANA / business APIs ]
  Dev --> OpenAIToolLayer
",,"Built an agentic AI layer on top of SAP HANA that converts existing MCP-style tools into OpenAI Tool format, letting businesses orchestrate complex workflows over SAP data with a single AI interface.","AI Agent, MCP Server, OpenAi, Python, ReAct Agent, custom orchestration layer",This project was built using OpenAi’s tools system which is like this exactloy works and looks like the MCP server fundamentals of tools discovery but it doesent need a transport layer instead we can direct import tools in this frame work while its pretty hactic in this farme work but I have written a python script which can convert the entire mcp server into Openai tool sert
Model Context Protocol (MCP),"mermaid
flowchart LR
  Agent1[AI client / IDE] --> MCPServer1[(MCP Server A)]
  Agent1 --> MCPServer2[(MCP Server B)]
  Agent1 --> MCPServerN[(MCP Server N)]

  MCPServer1 --> DataA[(Service / DB / API A)]
  MCPServer2 --> DataB[(Service / DB / API B)]
  MCPServerN --> DataN[(Other systems)]
",,"Helped teams understand and adopt MCP as a unified ""USB-C for AI tools,"" reducing integration complexity and standardizing how AI connects to data and services.","Langchain, MCP Server, Python","- The Model Context Protocol (MCP) is an open standard / protocol designed to standardize how large language models (LLMs) or AI assistants connect to external tools, services, and data sources.
- It was introduced by Anthropic in November 2024 as a way to reduce the fragmentation and �N � M� integration problem of AI systems needing bespoke connectors for each data source or platform.
- A helpful analogy is that MCP is like a USB-C port for AI applications: just as USB-C gives a unified physical connector for many devices, MCP gives a unified software protocol so AI models can �plug into� many tools and data systems."
